imagem_origem,linha,nome,frequencia,dano,status,status_participacao
img1.jpeg,1,Krelian,21/21,6513876469,nome_corrigido,completo
img1.jpeg,2,Hela,21/21,6507664927,,completo
img1.jpeg,3,Cley,21/21,6418524181,linha_corrigida,completo
img1.jpeg,4,Leon,21/21,5965959874,nome_corrigido,completo
img1.jpeg,5,Sr_Mendes,21/21,5935806658,nome_corrigido,completo
img1.jpeg,6,Gashak,21/21,5886574256,nome_corrigido,completo
img1.jpeg,7,Lux,21/21,5868302434,linha_corrigida,completo
img2.jpeg,1,SkyLord,21/21,5620127150,nome_corrigido,completo
img2.jpeg,2,Kanao,21/21,5542864960,,completo
img2.jpeg,3,Dennis,19/21,5528603679,,participou_bem
img2.jpeg,4,Ger,21/21,5432498592,linha_corrigida,completo
img2.jpeg,5,Wagnero,18/21,5002233689,linha_corrigida,participou_bem
img2.jpeg,6,SirAudino,21/21,4983526750,linha_corrigida,completo
img2.jpeg,7,Snowers,21/21,4889974560,linha_corrigida,completo
img3.jpeg,1,Aurora,21/21,4772547570,,completo
img3.jpeg,2,Capibara,18/21,4205867230,nome_corrigido,participou_bem
img3.jpeg,3,カミナリ,21/21,3854104442,linha_corrigida,completo
img3.jpeg,4,Ramigam,17/21,3503543200,nome_corrigido,participou_bem
img3.jpeg,5,Ino,16/21,3168253423,linha_corrigida,participou_bem
img3.jpeg,6,ヴァルディネイ,13/21,3126292007,linha_corrigida,baixa_participacao
img3.jpeg,7,Cosmos,15/21,3025436863,nome_corrigido,participou_bem
img4.jpeg,1,CAPETTINI,15/21,2983447047,nome_corrigido,participou_bem
img4.jpeg,2,math,11/21,2082005914,,baixa_participacao
img4.jpeg,3,kia,15/21,1548969572,nome_corrigido,participou_bem
img4.jpeg,4,PeSH,14/21,1510787224,linha_corrigida,baixa_participacao
img4.jpeg,5,Carlinhozz,9/21,1432042582,linha_corrigida,baixa_participacao
img4.jpeg,6,Drymus,3/21,548573759,nome_corrigido,quase_ausente
img4.jpeg,7,utiago,3/21,531796294,linha_corrigida,quase_ausente
