imagem_origem,linha,nome,frequencia,dano,status
img1.jpeg,1,Haru_Urara,21/21,7158254801,nome_corrigido
img1.jpeg,2,Hela,21/21,6906250248,nome_corrigido
img1.jpeg,3,Cley,21/21,6861580460,nome_corrigido
img1.jpeg,4,Krelian,21/21,6705019003,nome_corrigido
img1.jpeg,5,MJ馬McQueen,21/21,6663798278,nome_corrigido
img1.jpeg,6,Gashak,21/21,6392077070,nome_corrigido
img2.jpeg,1,Leon,21/21,6027765624,nome_corrigido
img2.jpeg,2,Lux,21/21,5960967960,nome_corrigido
img2.jpeg,3,SirAudino,21/21,5500028203,nome_corrigido
img2.jpeg,4,Sr_Mendes,18/21,5068935785,nome_corrigido
img2.jpeg,5,Aurora,21/21,5012426513,nome_corrigido
img2.jpeg,6,Kanao,21/21,4752593076,nome_corrigido
img3.jpeg,1,Dennis,15/21,4286916479,nome_corrigido
img3.jpeg,2,Ramigam,19/21,4233780082,nome_corrigido
img3.jpeg,3,Snowers,20/21,4226612351,nome_corrigido
img3.jpeg,4,カミナリ,21/21,4109872353,nome_corrigido
img3.jpeg,5,Ino,21/21,4056389878,nome_corrigido
img3.jpeg,6,Capibara,15/21,3974287078,nome_corrigido
img4.jpeg,1,Cosmos,18/21,3568754465,nome_corrigido
img4.jpeg,2,tang,15/21,3113825165,
img4.jpeg,3,Ger,12/21,29898388831,nome_corrigido;dano_suspeito
img4.jpeg,4,Algebra,12/21,2933485132,nome_corrigido
img4.jpeg,5,math,14/21,2320193644,nome_corrigido
img4.jpeg,6,kia,18/21,2208408342,nome_corrigido
img5.jpeg,1,kia,18/21,2208408342,nome_corrigido
img5.jpeg,2,utiago,12/21,1977662995,nome_corrigido
img5.jpeg,3,CAPETTINI,9/21,1467803268,
img5.jpeg,4,Carlinhozz,6/21,1026605685,nome_corrigido
img5.jpeg,5,PeSH,9/21,868000027,nome_corrigido
img5.jpeg,6,ヴァルディネイ,3/21,826383928,nome_corrigido
